home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Sheffield Utd,Aston Villa,Premier League,Matchweek 23,2/3/2024,-5,-0.8,0.9230933887835606,0,148.23899081564753,61.943202250247815,61.943202250247815
Burnley,Fulham,Premier League,Matchweek 23,2/3/2024,0,0.3,0.8960791271178923,-1,21.178939146197887,180.69996260710624,180.69996260710624
Manchester Utd,West Ham,Premier League,Matchweek 23,2/4/2024,3,-0.7,0.9720193844000475,0,60.67426842287674,163.8010029079662,163.8010029079662
Arsenal,Liverpool,Premier League,Matchweek 23,2/4/2024,2,3.1,0.9945637849235636,1,105.04331138761516,176.59599193203024,176.59599193203024
Chelsea,Wolves,Premier League,Matchweek 23,2/4/2024,-2,-0.3,0.9463402985074627,1,178.12109729259961,112.51325025221647,112.51325025221647
Bournemouth,Nott'ham Forest,Premier League,Matchweek 23,2/4/2024,0,0.8,0.9333333333333333,-2,96.5356303007143,155.2807119706641,155.2807119706641
Brentford,Manchester City,Premier League,Matchweek 23,2/5/2024,-2,-1.1,0.991072463768116,0,12.945839001702591,159.27746027743848,159.27746027743848
Tottenham,Brighton,Premier League,Matchweek 24,2/10/2024,1,0.4,0.9900583287680061,0,0.0,51.31601154621342,51.31601154621342
Liverpool,Burnley,Premier League,Matchweek 24,2/10/2024,2,1.5,0.9819016393442623,-1,0.0,38.85315934090947,38.85315934090947
Manchester City,Everton,Premier League,Matchweek 24,2/10/2024,2,1.3,0.9485613537633822,-2,159.27746027743848,31.662427052118172,31.662427052118172
Wolves,Brentford,Premier League,Matchweek 24,2/10/2024,-2,-0.9,0.9588455538221529,1,0.0,108.77048838167428,108.77048838167428
Nott'ham Forest,Newcastle Utd,Premier League,Matchweek 24,2/10/2024,-1,1,0.9623880792105091,-4,0.0,142.04126417458008,142.04126417458008
Fulham,Bournemouth,Premier League,Matchweek 24,2/10/2024,2,-0.2,0.9443968871595331,1,0.0,86.78071188693295,86.78071188693295
Luton Town,Sheffield Utd,Premier League,Matchweek 24,2/10/2024,-2,0.1,0.9281666666666667,0,0.0,111.54483901345607,111.54483901345607
West Ham,Arsenal,Premier League,Matchweek 24,2/11/2024,-6,-3.4,0.9996,0,0.0,4.121217159991134,4.121217159991134
Aston Villa,Manchester Utd,Premier League,Matchweek 24,2/11/2024,-1,0.6,0.989329268292683,-3,0.0,68.04384326627398,68.04384326627398
Crystal Palace,Chelsea,Premier League,Matchweek 24,2/12/2024,-2,-0.8,0.956389259188726,4,0.0,108.43913468153485,7.336218240493724
Tottenham,Wolves,Premier League,Matchweek 25,2/17/2024,-1,-0.2,0.9914601527504753,0,0.0,110.96158391521435,110.96158391521435
Newcastle Utd,Bournemouth,Premier League,Matchweek 25,2/17/2024,0,0,0.998451390880413,0,0.0,293.1171610832654,293.1171610832654
Manchester City,Chelsea,Premier League,Matchweek 25,2/17/2024,0,1.2,0.9483977679626298,-1,609.6278947774533,169.3384237319006,162.0652890815292
Nott'ham Forest,West Ham,Premier League,Matchweek 25,2/17/2024,2,2.3,0.9636625057185805,1,0.0,107.7314523271027,107.7314523271027
Fulham,Aston Villa,Premier League,Matchweek 25,2/17/2024,-1,0,0.9494552529182879,1,0.0,100.55472658396246,100.55472658396246
Burnley,Arsenal,Premier League,Matchweek 25,2/17/2024,-5,-2,0.9452230994411426,1,0.0,178.1061015824509,178.1061015824509
Brentford,Liverpool,Premier League,Matchweek 25,2/17/2024,-3,-1.2,0.9966956521739131,0,0.0,174.73492174379578,174.73492174379578
Sheffield Utd,Brighton,Premier League,Matchweek 25,2/18/2024,-5,-2.3,0.9027582410861721,0,0.0,183.03575186533246,183.03575186533246
Luton Town,Manchester Utd,Premier League,Matchweek 25,2/18/2024,-1,-1.1,0.9569166666666666,1,0.0,134.04826617521897,134.04826617521897
Everton,Crystal Palace,Premier League,Matchweek 25,2/19/2024,0,1,0.9503697985407277,2,0.0,186.0219860056356,186.0219860056356
